,symmetric,auto,num_topics,coherence,perplexity,diversity
0,symmetric,auto,10,0.30993093738015365,341.73666425702163,0.4666666666666667
1,symmetric,auto,12,0.3088166920489643,352.3119716192868,0.43333333333333335
2,symmetric,auto,14,0.3008006228526905,361.9172981862747,0.4666666666666667
3,symmetric,auto,16,0.3058788214547041,367.33417786162215,0.49583333333333335
4,symmetric,auto,18,0.2937415871318744,378.7737447294516,0.45185185185185184
5,symmetric,auto,20,0.2977601529081136,383.15479039033187,0.44666666666666666
6,symmetric,auto,22,0.30277709162325245,390.87740045182005,0.45454545454545453
7,symmetric,auto,24,0.29248700872532574,394.41981257128276,0.4166666666666667
8,symmetric,auto,26,0.29903567989373336,399.02572705230034,0.43846153846153846
9,symmetric,auto,28,0.29332696607438674,408.62601032102236,0.46904761904761905
10,symmetric,symmetric,10,0.30993093738015365,379.19830748943497,0.4666666666666667
11,symmetric,symmetric,12,0.3088166920489643,388.17943134888276,0.43333333333333335
12,symmetric,symmetric,14,0.3008006228526905,395.49986303559075,0.4666666666666667
13,symmetric,symmetric,16,0.3058788214547041,398.6556306290664,0.49583333333333335
14,symmetric,symmetric,18,0.2937415871318744,409.99283461412205,0.45185185185185184
15,symmetric,symmetric,20,0.2977601529081136,409.78472033143646,0.44666666666666666
16,symmetric,symmetric,22,0.30277709162325245,417.84564903983187,0.45454545454545453
17,symmetric,symmetric,24,0.29248700872532574,422.6479729280154,0.4166666666666667
18,symmetric,symmetric,26,0.29903567989373336,425.6212689401606,0.43846153846153846
19,symmetric,symmetric,28,0.29332696607438674,432.96485108051206,0.46904761904761905
20,asymmetric,auto,10,0.2907582609968247,338.8532278100949,0.44666666666666666
21,asymmetric,auto,12,0.30717040810722007,351.8375596089034,0.45
22,asymmetric,auto,14,0.309152088801698,363.5977691638542,0.4666666666666667
23,asymmetric,auto,16,0.2949235375633137,367.3716173455268,0.4791666666666667
24,asymmetric,auto,18,0.3114015505862495,381.8249817600721,0.4074074074074074
25,asymmetric,auto,20,0.3000659960728401,385.24776832382827,0.47333333333333333
26,asymmetric,auto,22,0.27947446009382276,392.88135477748654,0.4666666666666667
27,asymmetric,auto,24,0.293768807591072,396.1159475909397,0.425
28,asymmetric,auto,26,0.3063531556351356,402.985843554271,0.44358974358974357
29,asymmetric,auto,28,0.3189505632247632,410.0875361736622,0.4666666666666667
30,asymmetric,symmetric,10,0.2907582609968247,374.491772724139,0.44666666666666666
31,asymmetric,symmetric,12,0.30717040810722007,387.1962600107893,0.45
32,asymmetric,symmetric,14,0.309152088801698,396.52466168067053,0.4666666666666667
33,asymmetric,symmetric,16,0.2949235375633137,397.25211627878036,0.4791666666666667
34,asymmetric,symmetric,18,0.3114015505862495,414.9047104403367,0.4074074074074074
35,asymmetric,symmetric,20,0.3000659960728401,411.44479942316497,0.47333333333333333
36,asymmetric,symmetric,22,0.27947446009382276,418.52595037631494,0.4666666666666667
37,asymmetric,symmetric,24,0.293768807591072,424.57297904299713,0.425
38,asymmetric,symmetric,26,0.3063531556351356,426.87850575858675,0.44358974358974357
39,asymmetric,symmetric,28,0.3189505632247632,434.4432350845987,0.4666666666666667
40,auto,auto,10,0.30931354651826143,336.4209284296844,0.46
41,auto,auto,12,0.307146084635506,347.23220333287065,0.43333333333333335
42,auto,auto,14,0.3008006228526905,356.3984926204838,0.46190476190476193
43,auto,auto,16,0.2989006018358689,362.23295325281765,0.49166666666666664
44,auto,auto,18,0.2908184462306884,373.49335437860367,0.45185185185185184
45,auto,auto,20,0.2977601529081136,378.04104585287325,0.44333333333333336
46,auto,auto,22,0.3016771348543395,385.80608223231974,0.45454545454545453
47,auto,auto,24,0.29248700872532574,389.62216373027445,0.4166666666666667
48,auto,auto,26,0.29903567989373336,394.15920164587885,0.441025641025641
49,auto,auto,28,0.29552189056410266,403.84902774781943,0.46904761904761905
50,auto,symmetric,10,0.30931354651826143,373.5007961228673,0.46
51,auto,symmetric,12,0.307146084635506,382.6672202428516,0.43333333333333335
52,auto,symmetric,14,0.3008006228526905,389.5002766900312,0.46190476190476193
53,auto,symmetric,16,0.2989006018358689,393.1034872068158,0.49166666666666664
54,auto,symmetric,18,0.2908184462306884,404.26334366095745,0.45185185185185184
55,auto,symmetric,20,0.2977601529081136,404.305158829822,0.44333333333333336
56,auto,symmetric,22,0.3016771348543395,412.4110244393045,0.45454545454545453
57,auto,symmetric,24,0.29248700872532574,417.5064671211687,0.4166666666666667
58,auto,symmetric,26,0.29903567989373336,420.41094790246717,0.441025641025641
59,auto,symmetric,28,0.29552189056410266,427.9127972291,0.46904761904761905
