,symmetric,auto,num_topics,coherence,perplexity,diversity
0,symmetric,auto,10,0.36502143297976786,403.5556477897613,0.7733333333333333
1,symmetric,auto,12,0.39891055610397436,415.5509570537702,0.7722222222222223
2,symmetric,auto,14,0.42423047943885467,429.43307344472646,0.8238095238095238
3,symmetric,auto,16,0.42480797695693784,480.55088216785833,0.8125
4,symmetric,auto,18,0.42390802043808995,512.4965478364937,0.7888888888888889
5,symmetric,auto,20,0.45028742790687926,534.4319853933199,0.7966666666666666
6,symmetric,auto,22,0.4303246610568733,550.0763004905904,0.7787878787878788
7,symmetric,auto,24,0.4503754893437788,587.9853220983728,0.7944444444444444
8,symmetric,auto,26,0.4389297390993981,606.6019156276479,0.7871794871794872
9,symmetric,auto,28,0.4579941742838262,621.6230710376287,0.7785714285714286
10,symmetric,symmetric,10,0.36502143297976786,408.30858758342714,0.7733333333333333
11,symmetric,symmetric,12,0.39891055610397436,419.73822416848253,0.7722222222222223
12,symmetric,symmetric,14,0.42423047943885467,433.59522006266604,0.8238095238095238
13,symmetric,symmetric,16,0.42480797695693784,484.675706798877,0.8125
14,symmetric,symmetric,18,0.42390802043808995,516.7629407950202,0.7888888888888889
15,symmetric,symmetric,20,0.45028742790687926,538.383625943723,0.7966666666666666
16,symmetric,symmetric,22,0.4303246610568733,553.5530115824165,0.7787878787878788
17,symmetric,symmetric,24,0.4503754893437788,591.5426868458104,0.7944444444444444
18,symmetric,symmetric,26,0.4389297390993981,610.363576082912,0.7871794871794872
19,symmetric,symmetric,28,0.4579941742838262,624.9193364165889,0.7785714285714286
20,asymmetric,auto,10,0.38787260645591354,391.0146884479003,0.8133333333333334
21,asymmetric,auto,12,0.3884388843028144,401.6213293812426,0.7555555555555555
22,asymmetric,auto,14,0.409773900723569,431.0765332617683,0.8380952380952381
23,asymmetric,auto,16,0.4421804973089036,466.0531875343628,0.8208333333333333
24,asymmetric,auto,18,0.44649545954384856,500.4631019168958,0.8296296296296296
25,asymmetric,auto,20,0.45377183984721653,514.8977217587529,0.7766666666666666
26,asymmetric,auto,22,0.44706421564020987,538.3844854166591,0.7878787878787878
27,asymmetric,auto,24,0.45240223243173056,566.4189592520748,0.8083333333333333
28,asymmetric,auto,26,0.4683872317986453,583.8780668608558,0.8051282051282052
29,asymmetric,auto,28,0.4406584873018063,607.5947771484178,0.780952380952381
30,asymmetric,symmetric,10,0.38787260645591354,394.8421708295342,0.8133333333333334
31,asymmetric,symmetric,12,0.3884388843028144,404.8136247952994,0.7555555555555555
32,asymmetric,symmetric,14,0.409773900723569,434.2818457690404,0.8380952380952381
33,asymmetric,symmetric,16,0.4421804973089036,468.9841630438486,0.8208333333333333
34,asymmetric,symmetric,18,0.44649545954384856,503.69756827454125,0.8296296296296296
35,asymmetric,symmetric,20,0.45377183984721653,517.9189217563443,0.7766666666666666
36,asymmetric,symmetric,22,0.44706421564020987,541.2972352072051,0.7878787878787878
37,asymmetric,symmetric,24,0.45240223243173056,569.423370792505,0.8083333333333333
38,asymmetric,symmetric,26,0.4683872317986453,586.571819341927,0.8051282051282052
39,asymmetric,symmetric,28,0.4406584873018063,610.2660415271238,0.780952380952381
40,auto,auto,10,0.36767514206608853,398.10511659592447,0.7866666666666666
41,auto,auto,12,0.4040985625825286,412.73087921947484,0.7722222222222223
42,auto,auto,14,0.43056927105976156,425.1434500678286,0.8
43,auto,auto,16,0.4167796959221278,473.5765587354737,0.8125
44,auto,auto,18,0.4282093697619025,505.91407158012305,0.7888888888888889
45,auto,auto,20,0.4482920604451972,526.915577491581,0.78
46,auto,auto,22,0.4295924195749938,541.71112222884,0.7787878787878788
47,auto,auto,24,0.4481362267965598,575.4965015402994,0.7888888888888889
48,auto,auto,26,0.4354730243740228,595.5215367606693,0.7948717948717948
49,auto,auto,28,0.4578555227015428,608.1046089980098,0.7738095238095238
50,auto,symmetric,10,0.36767514206608853,402.8235430124249,0.7866666666666666
51,auto,symmetric,12,0.4040985625825286,416.88570546587545,0.7722222222222223
52,auto,symmetric,14,0.43056927105976156,429.32046432716345,0.8
53,auto,symmetric,16,0.4167796959221278,477.59397218145955,0.8125
54,auto,symmetric,18,0.4282093697619025,510.11465219942954,0.7888888888888889
55,auto,symmetric,20,0.4482920604451972,530.7716111650725,0.78
56,auto,symmetric,22,0.4295924195749938,545.1150643304409,0.7787878787878788
57,auto,symmetric,24,0.4481362267965598,578.9649528074902,0.7888888888888889
58,auto,symmetric,26,0.4354730243740228,599.1283863345561,0.7948717948717948
59,auto,symmetric,28,0.4578555227015428,611.2795242497887,0.7738095238095238
