num_topics,coherence,silhouette,num_tokens,ngram_range,min_topic_size,n_neighbors,n_components
72,0.39848965785620094,-0.023891244,3,"(1, 1)",10,4,2
71,0.38453641537619343,-0.02918679,3,"(1, 1)",10,4,6
63,0.38172138717796095,-0.02856546,3,"(1, 1)",10,8,2
60,0.41114506627150044,-0.030785087,3,"(1, 1)",10,8,6
65,0.3628559132008627,-0.03233548,3,"(1, 1)",10,12,2
46,0.4121538216618795,-0.024339896,3,"(1, 1)",10,12,6
59,0.3895121567999483,-0.03250882,3,"(1, 1)",10,16,2
49,0.42900721481682397,-0.027489062,3,"(1, 1)",10,16,6
59,0.3911841518697541,-0.03077636,3,"(1, 1)",13,4,2
50,0.3809651270088512,-0.02620767,3,"(1, 1)",13,4,6
49,0.35942848921638537,-0.025418751,3,"(1, 1)",13,8,2
38,0.3939823406703539,-0.022971176,3,"(1, 1)",13,8,6
49,0.37529489718960457,-0.02630116,3,"(1, 1)",13,12,2
36,0.42859255162568044,-0.021438368,3,"(1, 1)",13,12,6
3,0.4191112192606412,-0.00013266546,3,"(1, 1)",13,16,2
34,0.40696233454006797,-0.020073872,3,"(1, 1)",13,16,6
49,0.38946130147563657,-0.030724142,3,"(1, 1)",15,4,2
38,0.3709988858204718,-0.028405514,3,"(1, 1)",15,4,6
36,0.37393090421477193,-0.02311376,3,"(1, 1)",15,8,2
36,0.3971278039081645,-0.020984642,3,"(1, 1)",15,8,6
3,0.4845610006350243,-0.0028704794,3,"(1, 1)",15,12,2
31,0.4003475298254595,-0.021042721,3,"(1, 1)",15,12,6
3,0.414901350636467,0.0003423886,3,"(1, 1)",15,16,2
30,0.40811054936936403,-0.021601524,3,"(1, 1)",15,16,6
31,0.3934830118630014,-0.024445325,3,"(1, 1)",18,4,2
29,0.39059520918406515,-0.024617309,3,"(1, 1)",18,4,6
8,0.4482485621919724,-0.030309785,3,"(1, 1)",18,8,2
27,0.39798547963331976,-0.02437006,3,"(1, 1)",18,8,6
10,0.39689950284980974,-0.030120099,3,"(1, 1)",18,12,2
24,0.39334676104428506,-0.021280251,3,"(1, 1)",18,12,6
3,0.4336225481548135,0.0008728472,3,"(1, 1)",18,16,2
26,0.40533178083275573,-0.020737467,3,"(1, 1)",18,16,6
4,0.5292125698624405,-0.014566692,3,"(1, 1)",20,4,2
20,0.3917303434662355,-0.020247424,3,"(1, 1)",20,4,6
8,0.39676513614827214,-0.031290736,3,"(1, 1)",20,8,2
25,0.4155876402076071,-0.020424122,3,"(1, 1)",20,8,6
25,0.4141857938663637,-0.024553286,3,"(1, 1)",20,12,2
24,0.4160702882012212,-0.019708756,3,"(1, 1)",20,12,6
6,0.4909733724401025,-0.02922493,3,"(1, 1)",20,16,2
23,0.40186555943343266,-0.016626295,3,"(1, 1)",20,16,6
72,0.42439307134502546,-0.023891244,3,"(1, 2)",10,4,2
71,0.4257092723327437,-0.02918679,3,"(1, 2)",10,4,6
63,0.4166097907762707,-0.02856546,3,"(1, 2)",10,8,2
60,0.4349146111454036,-0.030785087,3,"(1, 2)",10,8,6
65,0.40595229525647114,-0.03233548,3,"(1, 2)",10,12,2
46,0.44905720079788186,-0.024339896,3,"(1, 2)",10,12,6
59,0.4254493086620421,-0.03250882,3,"(1, 2)",10,16,2
